date,cpi,change,change_percent
11/18,88.09342236728025,0.0,0.0
12/18,87.83304771988928,-0.26037464739097516,-0.2955665024630531
01/19,87.74712325771382,-0.08592446217545557,-0.09782703026482648
02/19,87.83478272150775,0.0876594637939263,0.0999000999001072
03/19,88.2730787037037,0.4382959821959531,0.4990004740896676
04/19,88.5360584318591,0.2629797281554005,0.2979161166884356
05/19,89.14967467841656,0.6136162465574557,0.6930693069307116
06/19,88.62371789565303,-0.5259567827635294,-0.5899705014749373
07/19,88.36073950427127,-0.2629783913817647,-0.29673590504451597
08/19,88.5360584318591,0.1753189275878384,0.1984126984126968
09/19,88.36073950427127,-0.1753189275878384,-0.19801980198019642
10/19,88.71137735944696,0.350637855175691,0.39682539682540974
11/19,88.36073950427127,-0.350637855175691,-0.39525691699606025
12/19,88.36073950427127,0.0,0.0
01/20,88.0101016490956,-0.3506378551756626,-0.39682539682537754
02/20,87.92244218530168,-0.0876594637939263,-0.09960159362550527
03/20,88.27308004047735,0.3506378551756768,0.39880358923229986
04/20,88.0101016490956,-0.2629783913817505,-0.29791459781528246
05/20,87.74712325771382,-0.2629783913817789,-0.2988047808765158
06/20,87.65946379391991,-0.0876594637939121,-0.09990009990009101
07/20,87.83478272150775,0.1753189275878384,0.1999999999999984
08/20,87.83478272150775,0.0,0.0
09/20,87.74712325771382,-0.0876594637939263,-0.09980039920160408
10/20,88.0101016490956,0.2629783913817789,0.2997002997003216
11/20,87.83478272150775,-0.1753189275878526,-0.19920318725101055
12/20,87.74712325771382,-0.0876594637939263,-0.09980039920160408
01/21,87.658676692397,-0.08844656531682915,-0.10079711109965517
02/21,87.92244402447042,0.26376733207342795,0.30090270812439224
03/21,88.44997868861724,0.5275346641468133,0.5999999999999894
04/21,88.71374602069066,0.26376733207342795,0.2982107355865
05/21,89.06543579678852,0.35168977609785657,0.3964321110009627
06/21,89.15335824081302,0.08792244402449967,0.09871668311948005
07/21,89.50504801691088,0.35168977609785657,0.3944773175542124
08/21,89.76881534898429,0.26376733207341374,0.2946954813359557
09/21,89.94466023703323,0.1758448880489425,0.1958863858961821
10/21,90.0325826810577,0.08792244402447125,0.09775171065493739
11/21,89.94466023703323,-0.08792244402447125,-0.09765625000000093
12/21,89.19731481481482,-0.7473454222184159,-0.8308947082004862
01/22,90.38427245715559,1.1869576423407722,1.330710060953124
02/22,90.99972956532689,0.6154571081712987,0.6809338521400843
03/22,91.5272642294737,0.5275346641468133,0.579710144927526
04/22,92.23064378166947,0.70337955219577,0.7684918347742627
05/22,92.75817844581628,0.5275346641468133,0.5719733079122874
06/22,93.10986822191417,0.351689776097885,0.37914691943128326
07/22,94.16493755020781,1.0550693282936408,1.1331444759206755
08/22,93.90117021813441,-0.26376733207339953,-0.28011204481791474
09/22,94.07701510618334,0.17584488804892828,0.1872659176029829
10/22,94.60454977033017,0.5275346641468275,0.5607476635514073
11/22,94.69247221435464,0.08792244402447125,0.09293680297397858
12/22,93.11719509224956,-1.5752771221050779,-1.6635716496440551
01/23,95.2513965634648,2.134201471215235,2.2919520600904257
02/23,95.71694591128231,0.46554934781751456,0.48875855327467554
03/23,96.08938538953633,0.372439478254023,0.38910505836576526
04/23,96.83426434604436,0.7448789565080318,0.7751937984496106
05/23,97.02048408517138,0.1862197391270115,0.19230769230769554
06/23,97.02048408517138,0.0,0.0
07/23,97.29981369386189,0.27932960869051726,0.28790786948177066
08/23,97.76536304167941,0.46554934781751456,0.4784688995215245
09/23,97.67225317211592,-0.09310986956349154,-0.0952380952380823
10/23,98.13780251993343,0.46554934781751456,0.4766444232602412
11/23,97.85847291124291,-0.27932960869051726,-0.28462998102467263
12/23,97.03600239676528,-0.8224705144776294,-0.8404693942277288
01/24,97.76536304167941,0.7293606449141237,0.7516392131776825
02/24,98.13780251993343,0.372439478254023,0.3809523809523873
03/24,98.69646173731445,0.5586592173810203,0.5692599620493308
04/24,99.53445056338599,0.8379888260715376,0.8490566037735847
05/24,99.72067030251299,0.1862197391269973,0.18709073900840795
06/24,99.8137801720765,0.09310986956351996,0.09337068160599155
07/24,100.37244212962963,0.5586619575531273,0.5597042378216793
08/24,101.30353808509257,0.9310959554629363,0.9276410294575066
09/24,101.11731834596556,-0.1862197391270115,-0.18382352941176777
10/24,101.58286769378307,0.46554934781751456,0.46040515653774683
11/24,101.21042821552906,-0.3724394782540088,-0.3666361136571874
12/24,100.01551822279743,-1.1949099927316382,-1.1806194418889921
01/25,101.5,1.484481777202575,1.484251447756038
02/25,101.5,0.0,0.0
03/25,102.0,0.5,0.49261083743842365
04/25,103.1,1.0999999999999943,1.078431372549014
05/25,102.8,-0.29999999999999716,-0.2909796314257974
06/25,103.1,0.29999999999999716,0.2918287937743163
07/25,103.5,0.4000000000000057,0.3879728419010725
08/25,104.2,0.7000000000000028,0.6763285024154617
09/25,103.6,-0.6000000000000085,-0.5758157389635399
10/25,104.1,0.5,0.4826254826254826
